IMO Number, Engine S/N, Channel, Channel Description, Timestamp, Value, Unit
187655,D623Z455,0161,"S M/E EXH No.1 CYL TEMP",2018-01-25 09:29:09,11.97,°C
187655,D623Z455,0162,"S M/E EXH No.2 CYL TEMP",2018-01-25 09:29:09,11.97,°C
187655,D623Z455,0163,"S M/E EXH No.3 CYL TEMP",2018-01-25 09:29:09,149.19,°C
187655,D623Z455,0164,"S M/E EXH No.4 CYL TEMP",2018-01-25 09:29:09,229.51,°C
187655,D623Z455,0261,"P M/E EXH No.1 CYL TEMP",2018-01-25 09:29:09,11.97,°C
187655,D623Z455,0262,"P M/E EXH No.2 CYL TEMP",2018-01-25 09:29:09,11.97,°C
187655,D623Z455,0263,"P M/E EXH No.3 CYL TEMP",2018-01-25 09:29:09,149.19,°C
187655,D623Z455,0264,"P M/E EXH No.4 CYL TEMP",2018-01-25 09:29:09,229.51,°C
187655,DE623E1234,10001,"Lub. oil filter differential pressure high",2018-01-25 09:29:09,0,Nil
187655,DE623E1234,10017,"Engine run",2018-01-25 09:29:09,1,Nil
187655,DE623E1234,10033,"System failure",2018-01-25 09:29:09,0,Nil
187655,DE623E1234,10034,"Control module failure",2018-01-25 09:29:09,1,Nil
187655,DE623E1234,10035,"Safety module failure",2018-01-25 09:29:09,1,Nil
187655,DE623E1234,10036,"Link to engine condition display failure",2018-01-25 09:29:09,0,Nil
187655,DE623E1234,10037,"Link to remote I/0-1 failure",2018-01-25 09:29:09,1,Nil
187655,DE623E1234,10038,"Link to remote I/O 2 failure",2018-01-25 09:29:09,1,Nil
