IMO Number, Engine S/N, Channel, Channel Description, Timestamp, Value, Unit
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:21:07+08:00,28.7,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:21:07+08:00,36.9,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:22:07+08:00,30.42,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:22:07+08:00,36.72,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:23:07+08:00,29.2,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:23:07+08:00,36.72,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:24:07+08:00,29.27,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:24:07+08:00,36.71,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:25:08+08:00,29.37,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:25:08+08:00,36.85,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:26:08+08:00,29.28,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:26:08+08:00,36.85,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:27:08+08:00,28.97,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:27:08+08:00,36.88,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:28:08+08:00,29.06,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:28:08+08:00,36.67,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:29:09+08:00,28.46,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:29:09+08:00,36.91,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:30:09+08:00,28.72,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:30:09+08:00,36.91,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:31:09+08:00,28.94,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:31:09+08:00,37.03,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:32:10+08:00,28.24,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:32:10+08:00,36.88,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:33:10+08:00,28.43,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:33:10+08:00,36.68,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:34:10+08:00,28.76,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:34:10+08:00,36.71,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:35:10+08:00,28.46,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:35:10+08:00,36.53,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:36:11+08:00,28.27,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:36:11+08:00,36.28,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:37:11+08:00,28.63,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:37:11+08:00,36.45,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:38:11+08:00,28.31,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:38:11+08:00,36.44,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:39:12+08:00,28.53,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:39:12+08:00,36.44,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:40:12+08:00,28.6,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:40:12+08:00,36.45,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:41:12+08:00,28.03,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16T14:41:12+08:00,36.62,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16T14:42:12+08:00,28.96,deg C
