IMO Number, Engine S/N, Channel, Channel Description, Timestamp, Value, Unit
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:21:07,28.7,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:21:07,36.9,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:22:07,30.42,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:22:07,36.72,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:23:07,29.2,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:23:07,36.72,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:24:07,29.27,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:24:07,36.71,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:25:08,29.37,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:25:08,36.85,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:26:08,29.28,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:26:08,36.85,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:27:08,28.97,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:27:08,36.88,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:28:08,29.06,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:28:08,36.67,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:29:09,28.46,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:29:09,36.91,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:30:09,28.72,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:30:09,36.91,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:31:09,28.94,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:31:09,37.03,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:32:10,28.24,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:32:10,36.88,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:33:10,28.43,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:33:10,36.68,deg C
187655,D623Z455,0111,Port Cluth Temp,2018-12-16 14:34:10,28.76,deg C
187655,D623Z456,0112,Stbd Clutch Temp,2018-12-16 14:34:10,36.71,deg C
