IMO Number, Engine S/N, Channel, Channel Description, Timestamp, Value, Unit
987654,789789789,0161,"S M/E EXH No.1 CYL TEMP",2018-09-28 20:29:09,400,°C
987654,789789789,0162,"S M/E EXH No.2 CYL TEMP",2018-09-28 20:29:09,410,°C
987654,789789789,0163,"S M/E EXH No.3 CYL TEMP",2018-09-28 20:29:09,480,°C
987654,789789789,0164,"S M/E EXH No.4 CYL TEMP",2018-09-28 20:29:09,405,°C
987654,789789789,0165,"S M/E EXH No.5 CYL TEMP",2018-09-28 20:29:09,420,°C
987654,789789789,0166,"S M/E EXH No.6 CYL TEMP",2018-09-28 21:29:09,500,°C
987654,789789789,0161,"S M/E EXH No.1 CYL TEMP",2018-09-28 21:29:09,400,°C
987654,789789789,0162,"S M/E EXH No.2 CYL TEMP",2018-09-28 21:29:09,410,°C
987654,789789789,0163,"S M/E EXH No.3 CYL TEMP",2018-09-28 21:29:09,480,°C
987654,789789789,0164,"S M/E EXH No.4 CYL TEMP",2018-09-28 21:29:09,405,°C
987654,789789789,0165,"S M/E EXH No.5 CYL TEMP",2018-09-28 21:29:09,420,°C
987654,789789789,0166,"S M/E EXH No.6 CYL TEMP",2018-09-28 21:29:09,500,°C
